Date,Company,Revenue,Profit,Employees,Stock_Price,Volume
2023-01-01,Apple,394328,96995,164000,150.23,45678900
2023-01-01,Microsoft,198270,72738,221000,239.45,23456700
2023-01-01,Google,307394,59972,156500,89.12,34567800
2023-01-01,Amazon,514004,11644,1608000,84.00,56789000
2023-01-01,Tesla,81462,12600,127855,123.18,78901200
2023-02-01,Apple,394328,96995,164000,151.23,45678900
2023-02-01,Microsoft,198270,72738,221000,240.45,23456700
2023-02-01,Google,307394,59972,156500,90.12,34567800
2023-02-01,Amazon,514004,11644,1608000,85.00,56789000
2023-02-01,Tesla,81462,12600,127855,125.18,78901200
2023-03-01,Apple,394328,96995,164000,152.23,45678900
2023-03-01,Microsoft,198270,72738,221000,241.45,23456700
2023-03-01,Google,307394,59972,156500,91.12,34567800
2023-03-01,Amazon,514004,11644,1608000,86.00,56789000
2023-03-01,Tesla,81462,12600,127855,127.18,78901200
2023-04-01,Apple,394328,96995,164000,153.23,45678900
2023-04-01,Microsoft,198270,72738,221000,242.45,23456700
2023-04-01,Google,307394,59972,156500,92.12,34567800
2023-04-01,Amazon,514004,11644,1608000,87.00,56789000
2023-04-01,Tesla,81462,12600,127855,129.18,78901200
2023-05-01,Apple,394328,96995,164000,154.23,45678900
2023-05-01,Microsoft,198270,72738,221000,243.45,23456700
2023-05-01,Google,307394,59972,156500,93.12,34567800
2023-05-01,Amazon,514004,11644,1608000,88.00,56789000
2023-05-01,Tesla,81462,12600,127855,131.18,78901200 